variable,name,value,year,month,Model
CST,cst_0_180,0.00741691216288339,1995,10,GLORYS
CST,cst_0_90,0.0122168141679435,1995,10,GLORYS
CST,cst_30_130,0.00903512080429487,1995,10,GLORYS
CST,cst_180_549,-0.00723917830302568,1995,10,GLORYS
CST,cst_90_180,0.0079957943503886,1995,11,GLORYS
CST,cst_0_180,0.00898707509549505,1995,11,GLORYS
CST,cst_0_90,0.00960642723448368,1995,11,GLORYS
CST,cst_30_130,0.00952473273655108,1995,11,GLORYS
CST,cst_180_549,0.00487157180694858,1995,11,GLORYS
CST,cst_90_180,0.0073110055789052,1995,12,GLORYS
CST,cst_0_180,0.00756403744907652,1995,12,GLORYS
CST,cst_0_90,0.00760627311203506,1995,12,GLORYS
CST,cst_30_130,0.00791029108141687,1995,12,GLORYS
CST,cst_180_549,0.00873209178280444,1995,12,GLORYS
CST,cst_90_180,0.0225982361772369,1996,1,GLORYS
CST,cst_0_180,0.0243476506507384,1996,1,GLORYS
CST,cst_0_90,0.0259688955082091,1996,1,GLORYS
CST,cst_30_130,0.026256629235481,1996,1,GLORYS
CST,cst_180_549,0.024781229331592,1996,1,GLORYS
CST,cst_90_180,0.0105842518066951,1996,2,GLORYS
CST,cst_0_180,0.0122834460617814,1996,2,GLORYS
CST,cst_0_90,0.0138150691259137,1996,2,GLORYS
CST,cst_30_130,0.0153150394925263,1996,2,GLORYS
CST,cst_180_549,0.0118980666607426,1996,2,GLORYS
CST,cst_90_180,0.0233315348395559,1996,3,GLORYS
CST,cst_0_180,0.0258956345842142,1996,3,GLORYS
CST,cst_0_90,0.0281316364230557,1996,3,GLORYS
CST,cst_30_130,0.0280456021846233,1996,3,GLORYS
CST,cst_180_549,0.0331266156835553,1996,3,GLORYS
CST,cst_90_180,0.0221865222599886,1996,4,GLORYS
CST,cst_0_180,0.0226516115661989,1996,4,GLORYS
CST,cst_0_90,0.0228203991824191,1996,4,GLORYS
CST,cst_30_130,0.0250306148589741,1996,4,GLORYS
CST,cst_180_549,0.0284678180804572,1996,4,GLORYS
CST,cst_90_180,0.00670029085947903,1996,5,GLORYS
CST,cst_0_180,0.0155796448308694,1996,5,GLORYS
CST,cst_0_90,0.0243073780087101,1996,5,GLORYS
CST,cst_30_130,0.0183370950637273,1996,5,GLORYS
CST,cst_180_549,-0.00739482247432176,1996,5,GLORYS
CST,cst_90_180,0.00311469330333996,1996,6,GLORYS
CST,cst_0_180,0.0094182913193771,1996,6,GLORYS
CST,cst_0_90,0.0154281609014411,1996,6,GLORYS
CST,cst_30_130,0.00978266932806951,1996,6,GLORYS
CST,cst_180_549,-0.0148434624376106,1996,6,GLORYS
CST,cst_90_180,-0.0116287303937494,1996,7,GLORYS
CST,cst_0_180,-0.000984313624692355,1996,7,GLORYS
CST,cst_0_90,0.00930550085615862,1996,7,GLORYS
CST,cst_30_130,0.00102473249164162,1996,7,GLORYS
CST,cst_180_549,-0.0304127349393265,1996,7,GLORYS
CST,cst_90_180,0.00106397901192143,1996,8,GLORYS
CST,cst_0_180,0.008747720989914,1996,8,GLORYS
CST,cst_0_90,0.0161733675388409,1996,8,GLORYS
CST,cst_30_130,0.0108790629553817,1996,8,GLORYS
CST,cst_180_549,-0.0165970231826736,1996,8,GLORYS
CST,cst_90_180,-0.00585026527233683,1996,9,GLORYS
CST,cst_0_180,-0.000316842844797931,1996,9,GLORYS
CST,cst_0_90,0.0050452735481292,1996,9,GLORYS
CST,cst_30_130,0.000334110530118201,1996,9,GLORYS
CST,cst_180_549,-0.0136353823290346,1996,9,GLORYS
CST,cst_90_180,0.00324981815551132,1996,10,GLORYS
CST,cst_0_180,0.00659783896964109,1996,10,GLORYS
CST,cst_0_90,0.00978790349367903,1996,10,GLORYS
CST,cst_30_130,0.00732563843204974,1996,10,GLORYS
CST,cst_180_549,-0.00646218263389949,1996,10,GLORYS
CST,cst_90_180,0.0142906417472586,1996,11,GLORYS
CST,cst_0_180,0.0163984425085945,1996,11,GLORYS
CST,cst_0_90,0.0182787531635936,1996,11,GLORYS
CST,cst_30_130,0.0181034623626829,1996,11,GLORYS
CST,cst_180_549,0.00462249575556543,1996,11,GLORYS
CST,cst_90_180,0.00251341871892014,1996,12,GLORYS
CST,cst_0_180,0.00253308966528015,1996,12,GLORYS
CST,cst_0_90,0.00242568229266633,1996,12,GLORYS
CST,cst_30_130,0.0023609571276359,1996,12,GLORYS
CST,cst_180_549,0.00363980474285756,1996,12,GLORYS
CST,cst_90_180,0.00273191994596521,1997,1,GLORYS
CST,cst_0_180,0.00246793024545867,1997,1,GLORYS
CST,cst_0_90,0.00204603835452376,1997,1,GLORYS
CST,cst_30_130,0.00308572415228613,1997,1,GLORYS
CST,cst_180_549,0.00691509355917827,1997,1,GLORYS
CST,cst_90_180,0.0227400449206172,1997,2,GLORYS
CST,cst_0_180,0.0256526643374697,1997,2,GLORYS
CST,cst_0_90,0.0284333183800526,1997,2,GLORYS
CST,cst_30_130,0.0262262357796086,1997,2,GLORYS
CST,cst_180_549,0.0185883156517657,1997,2,GLORYS
CST,cst_90_180,0.0137621319990922,1997,3,GLORYS
CST,cst_0_180,0.013833427482757,1997,3,GLORYS
CST,cst_0_90,0.0136647089702064,1997,3,GLORYS
CST,cst_30_130,0.0147167396921324,1997,3,GLORYS
CST,cst_180_549,-0.00285010342709496,1997,3,GLORYS
CST,cst_90_180,0.0259228174457548,1997,4,GLORYS
CST,cst_0_180,0.0296373763840795,1997,4,GLORYS
CST,cst_0_90,0.033300893562346,1997,4,GLORYS
CST,cst_30_130,0.0303807330304356,1997,4,GLORYS
CST,cst_180_549,0.0197530604298496,1997,4,GLORYS
CST,cst_90_180,-0.00131968953023244,1997,5,GLORYS
CST,cst_0_180,0.00695687012801266,1997,5,GLORYS
CST,cst_0_90,0.015039930842027,1997,5,GLORYS
CST,cst_30_130,0.00897172407880784,1997,5,GLORYS
CST,cst_180_549,-0.0177395784564532,1997,5,GLORYS
